PitcherNational,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%,DayNight_D,PitcherHabit_0,PitcherHabit_1,PitcherHabit_2,PitcherHabit_3,PitcherHabit_4,Brother.PitcherHabit_0,Brother.PitcherHabit_1,Brother.PitcherHabit_2,Brother.PitcherHabit_3,Brother.PitcherHabit_4,VisitingHomeType_1,WinLoss_0,WinLoss_1,WinLoss_2
0.0,4.0,13.0,20.666666,80.0,309.0,1.0,2.0,22.0,5.0,0.2,0.03333333,0.0,1.85,0.3181818,2.7,1.2,612.0,83.0,89.0,155.0,52.0,139.0,0.6551724,0.10526316,0.086965516,0.03333333,0.3,0.0,8.0,30.0,34.0,142.0,524.0,1.0,7.0,28.0,9.0,0.3,0.03333333,0.0,1.5333333,0.10526316,1.0,0.33333334,644.0,77.0,86.0,174.0,69.0,118.0,0.7647059,0.30769232,0.27347058,0.028571429,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,2.0,11.0,10.0,45.0,194.0,0.0,2.0,5.0,4.0,0.13043478,0.0,0.0,2.0,0.35,1.8,1.4,649.0,89.0,95.0,168.0,52.0,144.0,0.8378378,0.38709676,0.3631081,0.0,0.13157895,1.0,15.0,37.0,24.666666,111.0,401.0,2.0,2.0,23.0,21.0,0.083333336,0.0,0.041666668,5.0,0.47619048,10.8,2.2,682.0,80.0,89.0,186.0,70.0,126.0,0.775,0.38709676,0.29665,0.025,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,10.0,25.0,41.666668,160.0,603.0,2.0,10.0,38.0,12.0,0.30769232,0.07692308,0.0,1.7,0.25,2.7,0.9,877.0,116.0,123.0,225.0,69.0,192.0,0.8684211,0.3030303,0.31360525,0.07692308,0.025641026,1.0,21.0,39.0,31.333334,142.0,512.0,2.0,11.0,13.0,21.0,0.035714287,0.10714286,0.0,4.366667,0.3043478,6.0,1.6666666,953.0,111.0,125.0,249.0,96.0,173.0,0.6944444,0.28,0.24377778,0.055555556,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,12.0,29.0,25.666666,120.0,494.0,1.0,10.0,21.0,22.0,0.15789473,0.10526316,0.05263158,7.1,0.36363637,10.8,2.1,1318.0,172.0,187.0,342.0,106.0,263.0,0.75609756,0.32258064,0.27234146,0.07317073,0.17073171,0.0,24.0,55.0,52.0,226.0,861.0,6.0,13.0,39.0,26.0,0.10714286,0.035714287,0.0,2.7,0.33333334,4.5,1.5,1414.0,181.0,203.0,384.0,145.0,256.0,0.7380952,0.32258064,0.3695476,0.08888889,0.13333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,14.0,38.0,60.666668,235.0,916.0,3.0,16.0,59.0,16.0,0.17857143,0.071428575,0.0,2.6285715,0.3,0.0,1.1428572,1345.0,176.0,191.0,348.0,111.0,267.0,0.6969697,0.2173913,0.31518182,0.15151516,0.12121212,1.0,7.0,11.0,5.6666665,31.0,133.0,1.0,4.0,3.0,8.0,0.07692308,0.15384616,0.07692308,11.7,0.44444445,18.0,3.5,1448.0,182.0,204.0,392.0,147.0,264.0,0.7222222,0.30769232,0.24011111,0.054054055,0.21621622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,5.0,9.0,12.0,51.0,196.0,2.0,3.0,9.0,5.0,0.16,0.08,0.04,6.6,0.25,5.4,1.4,1479.0,187.0,205.0,380.0,123.0,306.0,0.6666667,0.26923078,0.23707692,0.051282052,0.23076923,1.0,13.0,62.0,69.333336,284.0,1097.0,3.0,10.0,69.0,18.0,0.23333333,0.03333333,0.0,2.057143,0.2857143,3.857143,1.0,1515.0,190.0,212.0,404.0,151.0,273.0,0.70454544,0.29032257,0.38722727,0.06818182,0.13636364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,21.0,59.0,64.666664,281.0,1108.0,1.0,28.0,38.0,30.0,0.0,0.18181819,0.0,12.2,0.75,13.5,12.0,1659.0,216.0,236.0,423.0,144.0,345.0,0.7380952,0.29032257,0.36830953,0.0952381,0.0952381,1.0,29.0,61.0,57.0,249.0,955.0,7.0,14.0,40.0,31.0,0.04347826,0.04347826,0.04347826,6.6,0.2631579,9.0,1.4,1698.0,217.0,243.0,460.0,163.0,302.0,0.7659575,0.44444445,0.38978723,0.08163265,0.14285715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,15.0,39.0,49.0,204.0,850.0,4.0,20.0,50.0,19.0,0.0,0.11764706,0.0,4.7,0.21428572,4.5,1.25,1690.0,217.0,237.0,430.0,145.0,358.0,0.54545456,0.3888889,0.25639394,0.029411765,0.38235295,1.0,22.0,77.0,82.0,342.0,1316.0,3.0,14.0,89.0,28.0,0.4,0.03333333,0.0,0.95,0.4,1.125,0.875,1733.0,221.0,248.0,470.0,166.0,306.0,0.81578946,0.32258064,0.33821052,0.07692308,0.102564104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,19.0,52.0,87.333336,335.0,1323.0,4.0,24.0,85.0,21.0,0.39130434,0.08695652,0.04347826,3.3764706,0.27272728,3.1764705,1.0588236,1750.0,227.0,247.0,445.0,154.0,372.0,0.625,0.25,0.25328124,0.0882353,0.23529412,1.0,23.0,81.0,90.0,371.0,1419.0,3.0,16.0,97.0,29.0,0.27586207,0.06896552,0.0,2.325,0.25,1.125,0.75,1763.0,223.0,250.0,475.0,169.0,317.0,0.54545456,0.22222222,0.24415152,0.09090909,0.33333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,10.0,21.0,26.333334,108.0,412.0,3.0,6.0,19.0,10.0,0.1724138,0.06896552,0.0,3.0636363,0.25,4.909091,0.95454544,1821.0,234.0,255.0,465.0,157.0,387.0,0.80487806,0.3939394,0.40080488,0.04761905,0.11904762,1.0,5.0,10.0,7.6666665,32.0,119.0,0.0,1.0,4.0,5.0,0.11764706,0.0,0.0,2.2,0.4,9.0,1.5,1828.0,234.0,261.0,487.0,176.0,331.0,0.72727275,0.20833333,0.24354546,0.05882353,0.1764706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,20.0,58.0,94.666664,364.0,1451.0,4.0,25.0,92.0,22.0,0.2413793,0.03448276,0.0,2.1090908,0.31578946,1.2272727,0.95454544,1907.0,237.0,259.0,480.0,169.0,410.0,0.73333335,0.24242423,0.20813334,0.06521739,0.19565217,1.0,24.0,89.0,97.666664,403.0,1547.0,3.0,18.0,104.0,30.0,0.21875,0.0625,0.0,2.1565218,0.36363637,1.173913,1.3043479,1869.0,235.0,262.0,494.0,180.0,341.0,0.67391306,0.22580644,0.22354348,0.08510638,0.21276596,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,21.0,64.0,104.0,400.0,1576.0,4.0,28.0,98.0,23.0,0.115384616,0.07692308,0.0,3.2,0.1904762,0.0,0.85714287,2107.0,262.0,284.0,545.0,187.0,443.0,0.77272725,0.5,0.48238635,0.044444446,0.11111111,1.0,20.0,28.0,18.0,87.0,365.0,2.0,4.0,19.0,20.0,0.083333336,0.083333336,0.0,4.353846,0.5,14.538462,2.5384614,2183.0,276.0,307.0,583.0,209.0,396.0,0.8108108,0.26666668,0.29554054,0.054054055,0.10810811,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,11.0,29.0,36.333332,147.0,575.0,3.0,8.0,26.0,11.0,0.1764706,0.05882353,0.0,2.6,0.16666667,0.0,0.6,2152.0,263.0,285.0,553.0,188.0,452.0,0.7826087,0.22222222,0.19465217,0.02173913,0.19565217,0.0,24.0,95.0,107.666664,441.0,1683.0,3.0,19.0,111.0,31.0,0.15384616,0.038461536,0.0,2.3666666,0.2857143,0.0,1.1666666,2222.0,277.0,308.0,589.0,212.0,403.0,0.7380952,0.16129032,0.22145239,0.069767445,0.1627907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,2.0,7.0,6.0,25.0,79.0,1.0,1.0,1.0,2.0,0.04,0.04,0.04,5.5333333,0.2857143,3.0,1.3333334,2184.0,266.0,288.0,562.0,189.0,454.0,0.90909094,0.3,0.29757577,0.029411765,0.05882353,0.0,10.0,27.0,26.666666,112.0,407.0,2.0,6.0,17.0,10.0,0.06666667,0.03333333,0.0,3.0636363,0.26923078,2.4545455,1.0909091,2255.0,279.0,310.0,599.0,214.0,408.0,0.7714286,0.33333334,0.34797144,0.054054055,0.13513513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,20.0,50.0,55.666668,239.0,1004.0,5.0,23.0,58.0,24.0,0.18181819,0.045454547,0.045454547,5.95,0.46666667,6.75,2.25,2525.0,318.0,344.0,662.0,219.0,510.0,0.7777778,0.35714287,0.2691111,0.0,0.21621622,0.0,10.0,17.0,10.666667,52.0,208.0,1.0,4.0,7.0,12.0,0.1904762,0.0,0.0,1.6,0.3529412,5.4,1.2,2591.0,307.0,341.0,680.0,257.0,487.0,0.64102566,0.32,0.3559231,0.102564104,0.17948718,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,11.0,23.0,21.0,90.0,326.0,1.0,6.0,10.0,11.0,0.16,0.08,0.0,2.9142857,0.21052632,1.2857143,0.85714287,2668.0,332.0,361.0,699.0,230.0,533.0,0.71428573,0.32,0.31951427,0.10810811,0.13513513,1.0,14.0,32.0,33.333332,139.0,526.0,2.0,11.0,17.0,14.0,0.0,0.42857143,0.0,12.2,0.25,18.0,4.0,2721.0,320.0,355.0,709.0,266.0,504.0,0.78125,0.2,0.1965,0.0625,0.15625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,18.0,42.0,47.333332,197.0,766.0,6.0,13.0,39.0,18.0,0.20689656,0.13793103,0.03448276,6.366667,0.46666667,4.5,2.0,2746.0,350.0,379.0,731.0,242.0,539.0,0.84444445,0.47368422,0.44635555,0.08510638,0.06382979,0.0,31.0,52.0,36.333332,167.0,645.0,3.0,7.0,34.0,31.0,0.07692308,0.038461536,0.0,3.0,0.47826087,7.2,2.4,2789.0,329.0,364.0,730.0,273.0,517.0,0.5641026,0.36363637,0.40002564,0.125,0.225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,30.0,91.0,129.33333,507.0,1963.0,6.0,31.0,116.0,34.0,0.09090909,0.0,0.09090909,8.969231,0.375,8.307693,1.8461539,2779.0,352.0,381.0,737.0,244.0,545.0,0.74285716,0.1923077,0.22545715,0.057142857,0.17142858,1.0,11.0,23.0,21.333334,94.0,372.0,3.0,6.0,17.0,11.0,0.2,0.04,0.0,2.15,0.21052632,0.0,0.75,2820.0,335.0,370.0,740.0,274.0,521.0,0.75757575,0.32,0.3912424,0.028571429,0.114285715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,15.0,29.0,27.0,117.0,436.0,1.0,9.0,17.0,15.0,0.25925925,0.11111111,0.0,2.3666666,0.4,6.0,1.5,2812.0,355.0,384.0,743.0,244.0,554.0,0.72727275,0.25,0.20430303,0.0,0.27272728,0.0,29.0,112.0,136.66667,549.0,2087.0,5.0,22.0,146.0,36.0,0.21428572,0.0,0.0,1.7,0.18181819,2.25,0.5,2849.0,340.0,375.0,748.0,277.0,528.0,0.6875,0.36363637,0.3141875,0.08571429,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,31.0,97.0,137.33333,536.0,2064.0,7.0,31.0,121.0,35.0,0.1724138,0.0,0.03448276,3.575,0.22727273,1.125,0.75,2935.0,364.0,395.0,768.0,252.0,577.0,0.6486486,0.25,0.22386487,0.05263158,0.2631579,0.0,13.0,26.0,27.333334,116.0,462.0,3.0,7.0,23.0,13.0,0.27272728,0.045454547,0.0,2.2,0.23076923,3.0,0.6666667,2953.0,354.0,390.0,778.0,286.0,543.0,0.73170733,0.3,0.3920244,0.04761905,0.14285715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,30.0,68.0,77.0,332.0,1411.0,7.0,34.0,80.0,35.0,0.23076923,0.15384616,0.038461536,5.4941177,0.33333334,7.9411764,1.7647059,3196.0,413.0,445.0,840.0,281.0,630.0,0.7777778,0.2857143,0.30888888,0.10810811,0.10810811,0.0,16.0,28.0,20.333334,95.0,348.0,2.0,10.0,12.0,18.0,0.055555556,0.22222222,0.0,5.927273,0.23076923,9.818182,1.9090909,3270.0,402.0,440.0,869.0,320.0,597.0,0.5405405,0.35,0.3293611,0.16216215,0.27027026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,43.0,104.0,109.0,474.0,1833.0,5.0,45.0,69.0,53.0,0.14285715,0.5714286,0.0,22.7,0.0,27.0,6.0,3361.0,424.0,457.0,876.0,293.0,668.0,0.7777778,0.25,0.33094445,0.027777778,0.1388889,0.0,47.0,124.0,111.333336,471.0,1702.0,9.0,18.0,74.0,54.0,0.08,0.04,0.08,7.366667,0.25,6.0,1.3333334,3405.0,421.0,461.0,900.0,331.0,618.0,0.5945946,0.045454547,0.23383784,0.18421052,0.15789473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
